nombre,link,img_url,categoria
SUBMERSIBLE AAA+,https://elpatronimport.mitiendanube.com/productos/submersible-aaa4/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
SPEEDMASTER AAA+,https://elpatronimport.mitiendanube.com/productos/speedmaster-aaa8/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
SPEEDMASTER AAA+,https://elpatronimport.mitiendanube.com/productos/speedmaster-aaa7/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
BALLON BLUE AAA+,https://elpatronimport.mitiendanube.com/productos/ballon-blue-aaa/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
DAYDATE AAA+,https://elpatronimport.mitiendanube.com/productos/daydate-aaa32/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
GMT AAA+,https://elpatronimport.mitiendanube.com/productos/gmt-aaa12/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
SUBMARINER AAA+,https://elpatronimport.mitiendanube.com/productos/submariner-aaa16/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
SUBMARINER NO DATE AAA+,https://elpatronimport.mitiendanube.com/productos/submariner-no-date-aaa1/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
DATEJUST AAA+,https://elpatronimport.mitiendanube.com/productos/datejust-aaa16/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
GMT AAA+,https://elpatronimport.mitiendanube.com/productos/gmt-aaa11/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
DATEJUST AAA+,https://elpatronimport.mitiendanube.com/productos/datejust-aaa15/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
OYSTER AAA+,https://elpatronimport.mitiendanube.com/productos/oyster-aaa13/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
DAYTONA AAA+,https://elpatronimport.mitiendanube.com/productos/daytona-aaa18/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
EXPLORER AAA+,https://elpatronimport.mitiendanube.com/productos/explorer-aaa/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
DATEJUST AAA+,https://elpatronimport.mitiendanube.com/productos/datejust-aaa14/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
DATEJUST AAA+,https://elpatronimport.mitiendanube.com/productos/datejust-aaa13/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
SEADWELLER AAA+,https://elpatronimport.mitiendanube.com/productos/seadweller-aaa3/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
DEEPSEA AAA+,https://elpatronimport.mitiendanube.com/productos/deepsea-aaa1/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
CARRERA AAA+,https://elpatronimport.mitiendanube.com/productos/carrera-aaa15/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
CARRERA AAA+,https://elpatronimport.mitiendanube.com/productos/carrera-aaa14/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
AQUANAUT AAA+,https://elpatronimport.mitiendanube.com/productos/aquanaut-aaa6/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
SPEEDMASTER AAA+,https://elpatronimport.mitiendanube.com/productos/speedmaster-aaa6/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
ROYAL OAK AAA+,https://elpatronimport.mitiendanube.com/productos/royal-oak-aaa26/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
SEAMASTER PLANET OCEAN,https://elpatronimport.mitiendanube.com/productos/seamaster-planet-ocean2/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
SEAMASTER PLANET OCEAN,https://elpatronimport.mitiendanube.com/productos/seamaster-planet-ocean1/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
SEAMASTER PLANET OCEAN,https://elpatronimport.mitiendanube.com/productos/seamaster-planet-ocean/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
PLANET OCEAN 007,https://elpatronimport.mitiendanube.com/productos/planet-ocean-007/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
CLASSIC FUSION LADY AAA+,https://elpatronimport.mitiendanube.com/productos/classic-fusion-lady-aaa13/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
DIVER AAA+,https://elpatronimport.mitiendanube.com/productos/diver-aaa14/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
DIVER AAA+,https://elpatronimport.mitiendanube.com/productos/diver-aaa13/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
DIVER AAA+,https://elpatronimport.mitiendanube.com/productos/diver-aaa12/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
BALLON BLEU AAA+,https://elpatronimport.mitiendanube.com/productos/ballon-bleu-aaa15/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
TANK AAA+,https://elpatronimport.mitiendanube.com/productos/tank-aaa3/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
BALLON BLEU AAA+,https://elpatronimport.mitiendanube.com/productos/ballon-bleu-aaa14/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
BALLON BLEU AAA+,https://elpatronimport.mitiendanube.com/productos/ballon-bleu-aaa13/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
BALLON BLEU AAA+,https://elpatronimport.mitiendanube.com/productos/ballon-bleu-aaa12/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
BALLON BLEU AAA+,https://elpatronimport.mitiendanube.com/productos/ballon-bleu-aaa11/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
BALLON BLEU AAA+,https://elpatronimport.mitiendanube.com/productos/ballon-bleu-aaa10/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
BALLON BLEU AAA+,https://elpatronimport.mitiendanube.com/productos/ballon-bleu-aaa9/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
SANTOS AAA+,https://elpatronimport.mitiendanube.com/productos/santos-aaa6/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
BALLON BLEU CHRONOGRAPH AAA+,https://elpatronimport.mitiendanube.com/productos/ballon-bleu-chronograph-aaa/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
BALLON BLEU CHRONOGRAPH AAA+,https://elpatronimport.mitiendanube.com/productos/ballon-bleu-chronograph-aaa1/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
SERPENT AAA+,https://elpatronimport.mitiendanube.com/productos/serpent-aaa4/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
SERPENT AAA+,https://elpatronimport.mitiendanube.com/productos/serpent-aaa5/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
DIAGONO AAA+,https://elpatronimport.mitiendanube.com/productos/diagono-aaa8/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
MONACO AAA+,https://elpatronimport.mitiendanube.com/productos/monaco-aaa9/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
MONACO CALIBRE AAA+,https://elpatronimport.mitiendanube.com/productos/monaco-calibre-aaa/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
MONACO AAA+,https://elpatronimport.mitiendanube.com/productos/monaco-aaa10/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
PILOT AAA+,https://elpatronimport.mitiendanube.com/productos/pilot-aaa6/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
AVENGER AAA+,https://elpatronimport.mitiendanube.com/productos/avenger-aaa1/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
TRANSOCEAN AAA+,https://elpatronimport.mitiendanube.com/productos/transocean-aaa3/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA
