nombre,link,precio,img_url,categoria,descripcion,imagen_file
AVENGER AAA+,https://elpatronimport.mitiendanube.com/productos/avenger-aaa1/,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA,,
TRANSOCEAN AAA+,https://elpatronimport.mitiendanube.com/productos/transocean-aaa3/,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA,,
ROYAL OAK AAA+,https://elpatronimport.mitiendanube.com/productos/royal-oak-aaa25/,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA,,
DATEJUST WIMBLEDON AAA+,https://elpatronimport.mitiendanube.com/productos/datejust-wimbledon-aaa2/,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA,,
MILLE MIGLIA AAA+,https://elpatronimport.mitiendanube.com/productos/mille-miglia-aaa2/,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA,,
MILLE MIGLIA AAA+,https://elpatronimport.mitiendanube.com/productos/mille-miglia-aaa1/,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA,,
VERSACE ATELIER AAA+,https://elpatronimport.mitiendanube.com/productos/versace-atelier-aaa/,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA,,
VERSACE REGALIA LADY AAA+,https://elpatronimport.mitiendanube.com/productos/versace-regalia-lady-aaa/,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA,,
VERSACE VLB100014 AAA+,https://elpatronimport.mitiendanube.com/productos/versace-vlb100014-aaa/,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA,,
VERSACE CHRONO MASTER AAA+,https://elpatronimport.mitiendanube.com/productos/versace-chrono-master-aaa/,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA,,
VERSACE V-RACE AAA+,https://elpatronimport.mitiendanube.com/productos/versace-v-race-aaa/,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",RELOJES AAA,,
